ano_agricola;uf;produto;producao_mil_t
1976/77             ;AL;ALGODAO EM PLUMA                        ;6.0
1976/77             ;BA;ALGODAO EM PLUMA                        ;7.0
1976/77             ;CE;ALGODAO EM PLUMA                        ;70.0
1976/77             ;GO;ALGODAO EM PLUMA                        ;28.2
1976/77             ;MA;ALGODAO EM PLUMA                        ;2.0
1976/77             ;MG;ALGODAO EM PLUMA                        ;30.9
1976/77             ;MS;ALGODAO EM PLUMA                        ;15.7
1976/77             ;PB;ALGODAO EM PLUMA                        ;35.0
1976/77             ;PE;ALGODAO EM PLUMA                        ;25.0
1976/77             ;PI;ALGODAO EM PLUMA                        ;4.0
1976/77             ;PR;ALGODAO EM PLUMA                        ;137.9
1976/77             ;RN;ALGODAO EM PLUMA                        ;30.0
1976/77             ;SE;ALGODAO EM PLUMA                        ;1.0
1976/77             ;SP;ALGODAO EM PLUMA                        ;194.2
1977/78             ;AL;ALGODAO EM PLUMA                        ;5.3
1977/78             ;BA;ALGODAO EM PLUMA                        ;12.0
1977/78             ;CE;ALGODAO EM PLUMA                        ;79.6
1977/78             ;GO;ALGODAO EM PLUMA                        ;20.8
1977/78             ;MA;ALGODAO EM PLUMA                        ;2.7
1977/78             ;MG;ALGODAO EM PLUMA                        ;31.6
1977/78             ;MS;ALGODAO EM PLUMA                        ;17.0
1977/78             ;PB;ALGODAO EM PLUMA                        ;30.0
1977/78             ;PE;ALGODAO EM PLUMA                        ;18.0
1977/78             ;PI;ALGODAO EM PLUMA                        ;6.5
1977/78             ;PR;ALGODAO EM PLUMA                        ;100.8
1977/78             ;RN;ALGODAO EM PLUMA                        ;26.0
1977/78             ;SE;ALGODAO EM PLUMA                        ;1.0
1977/78             ;SP;ALGODAO EM PLUMA                        ;135.1
1978/79             ;AL;ALGODAO EM PLUMA                        ;5.2
1978/79             ;BA;ALGODAO EM PLUMA                        ;12.0
1978/79             ;CE;ALGODAO EM PLUMA                        ;54.3
1978/79             ;GO;ALGODAO EM PLUMA                        ;17.5
1978/79             ;MA;ALGODAO EM PLUMA                        ;3.6
1978/79             ;MG;ALGODAO EM PLUMA                        ;21.9
1978/79             ;MS;ALGODAO EM PLUMA                        ;21.9
1978/79             ;MT;ALGODAO EM PLUMA                        ;1.2
1978/79             ;PB;ALGODAO EM PLUMA                        ;25.0
1978/79             ;PE;ALGODAO EM PLUMA                        ;16.5
1978/79             ;PI;ALGODAO EM PLUMA                        ;6.9
1978/79             ;PR;ALGODAO EM PLUMA                        ;169.8
1978/79             ;RN;ALGODAO EM PLUMA                        ;14.0
1978/79             ;SE;ALGODAO EM PLUMA                        ;1.5
1978/79             ;SP;ALGODAO EM PLUMA                        ;172.3
1979/80             ;AL;ALGODAO EM PLUMA                        ;4.0
1979/80             ;BA;ALGODAO EM PLUMA                        ;14.3
1979/80             ;CE;ALGODAO EM PLUMA                        ;55.0
1979/80             ;GO;ALGODAO EM PLUMA                        ;18.7
1979/80             ;MA;ALGODAO EM PLUMA                        ;3.0
1979/80             ;MG;ALGODAO EM PLUMA                        ;19.2
1979/80             ;MS;ALGODAO EM PLUMA                        ;22.5
1979/80             ;MT;ALGODAO EM PLUMA                        ;1.4
1979/80             ;PB;ALGODAO EM PLUMA                        ;26.5
1979/80             ;PE;ALGODAO EM PLUMA                        ;14.0
1979/80             ;PI;ALGODAO EM PLUMA                        ;6.0
1979/80             ;PR;ALGODAO EM PLUMA                        ;200.9
1979/80             ;RN;ALGODAO EM PLUMA                        ;12.5
1979/80             ;SE;ALGODAO EM PLUMA                        ;0.7
1979/80             ;SP;ALGODAO EM PLUMA                        ;178.7
1980/81             ;AL;ALGODAO EM PLUMA                        ;5.4
1980/81             ;BA;ALGODAO EM PLUMA                        ;16.2
1980/81             ;CE;ALGODAO EM PLUMA                        ;32.0
1980/81             ;GO;ALGODAO EM PLUMA                        ;25.0
1980/81             ;MA;ALGODAO EM PLUMA                        ;4.3
1980/81             ;MG;ALGODAO EM PLUMA                        ;28.7
1980/81             ;MS;ALGODAO EM PLUMA                        ;19.6
1980/81             ;MT;ALGODAO EM PLUMA                        ;1.4
1980/81             ;PB;ALGODAO EM PLUMA                        ;22.3
1980/81             ;PE;ALGODAO EM PLUMA                        ;9.6
1980/81             ;PI;ALGODAO EM PLUMA                        ;5.2
1980/81             ;PR;ALGODAO EM PLUMA                        ;208.0
1980/81             ;RN;ALGODAO EM PLUMA                        ;13.3
1980/81             ;SE;ALGODAO EM PLUMA                        ;1.5
1980/81             ;SP;ALGODAO EM PLUMA                        ;201.9
1981/82             ;AL;ALGODAO EM PLUMA                        ;7.8
1981/82             ;BA;ALGODAO EM PLUMA                        ;17.3
1981/82             ;CE;ALGODAO EM PLUMA                        ;63.0
1981/82             ;GO;ALGODAO EM PLUMA                        ;22.0
1981/82             ;MA;ALGODAO EM PLUMA                        ;3.5
1981/82             ;MG;ALGODAO EM PLUMA                        ;28.0
1981/82             ;MS;ALGODAO EM PLUMA                        ;21.5
1981/82             ;MT;ALGODAO EM PLUMA                        ;1.8
1981/82             ;PA;ALGODAO EM PLUMA                        ;1.8
1981/82             ;PB;ALGODAO EM PLUMA                        ;23.0
1981/82             ;PE;ALGODAO EM PLUMA                        ;6.1
1981/82             ;PI;ALGODAO EM PLUMA                        ;6.2
1981/82             ;PR;ALGODAO EM PLUMA                        ;264.5
1981/82             ;RN;ALGODAO EM PLUMA                        ;17.4
1981/82             ;SE;ALGODAO EM PLUMA                        ;2.0
1981/82             ;SP;ALGODAO EM PLUMA                        ;194.6
1982/83             ;AL;ALGODAO EM PLUMA                        ;4.8
1982/83             ;BA;ALGODAO EM PLUMA                        ;18.6
1982/83             ;CE;ALGODAO EM PLUMA                        ;20.0
1982/83             ;GO;ALGODAO EM PLUMA                        ;28.0
1982/83             ;MA;ALGODAO EM PLUMA                        ;2.4
1982/83             ;MG;ALGODAO EM PLUMA                        ;38.5
1982/83             ;MS;ALGODAO EM PLUMA                        ;21.5
1982/83             ;MT;ALGODAO EM PLUMA                        ;1.5
1982/83             ;PA;ALGODAO EM PLUMA                        ;2.5
1982/83             ;PB;ALGODAO EM PLUMA                        ;12.1
1982/83             ;PE;ALGODAO EM PLUMA                        ;5.0
1982/83             ;PI;ALGODAO EM PLUMA                        ;2.6
1982/83             ;PR;ALGODAO EM PLUMA                        ;254.4
1982/83             ;RN;ALGODAO EM PLUMA                        ;4.1
1982/83             ;SE;ALGODAO EM PLUMA                        ;1.0
1982/83             ;SP;ALGODAO EM PLUMA                        ;169.3
1983/84             ;AL;ALGODAO EM PLUMA                        ;6.2
1983/84             ;BA;ALGODAO EM PLUMA                        ;22.8
1983/84             ;CE;ALGODAO EM PLUMA                        ;76.1
1983/84             ;GO;ALGODAO EM PLUMA                        ;32.8
1983/84             ;MA;ALGODAO EM PLUMA                        ;2.8
1983/84             ;MG;ALGODAO EM PLUMA                        ;28.1
1983/84             ;MS;ALGODAO EM PLUMA                        ;20.6
1983/84             ;MT;ALGODAO EM PLUMA                        ;3.4
1983/84             ;PA;ALGODAO EM PLUMA                        ;3.0
1983/84             ;PB;ALGODAO EM PLUMA                        ;34.5
1983/84             ;PE;ALGODAO EM PLUMA                        ;12.0
1983/84             ;PI;ALGODAO EM PLUMA                        ;10.0
1983/84             ;PR;ALGODAO EM PLUMA                        ;216.1
1983/84             ;RN;ALGODAO EM PLUMA                        ;22.0
1983/84             ;SE;ALGODAO EM PLUMA                        ;1.8
1983/84             ;SP;ALGODAO EM PLUMA                        ;182.3
1984/85             ;AL;ALGODAO EM PLUMA                        ;7.2
1984/85             ;BA;ALGODAO EM PLUMA                        ;65.0
1984/85             ;CE;ALGODAO EM PLUMA                        ;50.5
1984/85             ;GO;ALGODAO EM PLUMA                        ;40.8
1984/85             ;MA;ALGODAO EM PLUMA                        ;2.3
1984/85             ;MG;ALGODAO EM PLUMA                        ;70.1
1984/85             ;MS;ALGODAO EM PLUMA                        ;38.6
1984/85             ;MT;ALGODAO EM PLUMA                        ;7.4
1984/85             ;PA;ALGODAO EM PLUMA                        ;1.5
1984/85             ;PB;ALGODAO EM PLUMA                        ;21.3
1984/85             ;PE;ALGODAO EM PLUMA                        ;12.1
1984/85             ;PI;ALGODAO EM PLUMA                        ;11.6
1984/85             ;PR;ALGODAO EM PLUMA                        ;371.1
1984/85             ;RN;ALGODAO EM PLUMA                        ;9.7
1984/85             ;SE;ALGODAO EM PLUMA                        ;2.9
1984/85             ;SP;ALGODAO EM PLUMA                        ;252.7
1985/86             ;AL;ALGODAO EM PLUMA                        ;7.4
1985/86             ;BA;ALGODAO EM PLUMA                        ;77.5
1985/86             ;CE;ALGODAO EM PLUMA                        ;22.3
1985/86             ;GO;ALGODAO EM PLUMA                        ;33.1
1985/86             ;MA;ALGODAO EM PLUMA                        ;3.1
1985/86             ;MG;ALGODAO EM PLUMA                        ;57.5
1985/86             ;MS;ALGODAO EM PLUMA                        ;34.7
1985/86             ;MT;ALGODAO EM PLUMA                        ;6.3
1985/86             ;PA;ALGODAO EM PLUMA                        ;2.3
1985/86             ;PB;ALGODAO EM PLUMA                        ;9.0
1985/86             ;PE;ALGODAO EM PLUMA                        ;4.1
1985/86             ;PI;ALGODAO EM PLUMA                        ;11.5
1985/86             ;PR;ALGODAO EM PLUMA                        ;269.1
1985/86             ;RN;ALGODAO EM PLUMA                        ;6.0
1985/86             ;SE;ALGODAO EM PLUMA                        ;4.0
1985/86             ;SP;ALGODAO EM PLUMA                        ;245.5
1986/87             ;AL;ALGODAO EM PLUMA                        ;5.0
1986/87             ;BA;ALGODAO EM PLUMA                        ;39.3
1986/87             ;CE;ALGODAO EM PLUMA                        ;10.5
1986/87             ;GO;ALGODAO EM PLUMA                        ;24.5
1986/87             ;MA;ALGODAO EM PLUMA                        ;2.0
1986/87             ;MG;ALGODAO EM PLUMA                        ;33.0
1986/87             ;MS;ALGODAO EM PLUMA                        ;26.6
1986/87             ;MT;ALGODAO EM PLUMA                        ;3.9
1986/87             ;PA;ALGODAO EM PLUMA                        ;1.0
1986/87             ;PB;ALGODAO EM PLUMA                        ;6.0
1986/87             ;PE;ALGODAO EM PLUMA                        ;3.0
1986/87             ;PI;ALGODAO EM PLUMA                        ;12.0
1986/87             ;PR;ALGODAO EM PLUMA                        ;250.5
1986/87             ;RN;ALGODAO EM PLUMA                        ;2.0
1986/87             ;SE;ALGODAO EM PLUMA                        ;2.0
